sm365,Noah Beery,1884
sm366,Noah Beery jr.,1913
sm367,Wallace Beery,1880
sm368,Hagan Beggs,
sm369,Ed Begley,1901
sm370,Ed Begley jr.,
sm371,Charles Belcher,
sm372,Barbara BelGeddes,
sm373,Ann Bell,
sm374,James Bell,1891
sm375,Marie Bell,1900
sm376,Rex Bell,1905
sm377,Madge Bellamy,1903
sm378,Ralph Bellamy,1904
sm379,Harry Bellaver,1905
sm380,Kathleen Beller,1955
sm381,Agostina Belli,
sm382,Olga Bellin,
sm383,JeanPaul Belmondo,1933
sm384,Belmonts,
sm385,Lionel Belmore,1867
sm386,Richard Beltran,
sm387,Robert Beltran,
sm388,John Belushi,1949
sm389,Richard Belzer,
sm390,Pat Benatar,
sm391,Brian Benben,
sm392,Robert Benchley,1889
sm393,William Bendix,1906
sm394,Billy Benedict,1906
sm395,Paul Benedict,
sm396,Richard Benedict,1916
sm397,Richard Benjamin,1938
sm398,Alma Bennett,1889
sm399,Barbara Bennett,1902
sm400,Belle Bennett,1891
sm401,Bruce Bennett,1909
sm402,Constance Bennett,1904
sm403,Joan Bennett,1910
sm404,Joe Bennett,
sm405,John Bennett,1928
sm406,Marjorie Bennett,1894
sm407,Annette Benning,1958
sm408,Jack Benny,1894
sm409,Martin Benson,1918
sm410,Robby Benson,1956
sm411,Michael Bentine,1922
sm412,Barbi Benton,
sm413,Susanne Benton,
sm414,Iris Berben,
sm415,Marisa Berenson,1946
sm416,Judith-Marie Bergan,
sm417,Polly Bergen,1929
sm418,William Bergen,
sm419,Helmut Berger,1944
sm420,Katya Berger,
sm421,Senta Berger,1941
sm422,Sidney Berger,1962
sm423,William Berger,
sm424,Jacques Bergerac,1927
sm425,Herbert Berghof,1909
sm426,Ingrid Bergman,1915
sm427,Harold Bergman,
sm428,Henry Bergman,
sm429,Sandahl Bergman,
sm430,Tracy Bergman,
sm431,Elisabeth Bergner,1898
sm432,Thommy Bergren,
sm433,Milton Berle,1908
sm434,Irving Berlin,1888
sm435,Jennie Berlin,
sm436,Shelley Berman,1926
sm437,Susan Berman,
sm438,Jason Bernhard,
sm439,Herschel Bernardi,1923
sm440,Sarah Bernhardt,1844
sm441,Elizabeth Berridge,
sm442,Phillip Berrigan,
sm443,Chuck Berry,
sm444,Jules Berry,1883
sm445,Ken Berry,1933
sm446,Michael Berryman,
sm447,Marina Berti,1928
sm448,Bibi Besch,
sm449,Joe Besser,1916
sm450,Eugenie Besserer,1870
sm451,Edna Best,1900
sm452,Willie Best,1916
sm453,Barbara Bestar,
sm454,Jack Beutel,
sm455,Turhan Bey,
sm456,Richard Beymer,1939
sm457,Daniela Bianchi,1942
sm458,Charles Bickford,1889
sm459,Ramon Bieri,
sm460,Theodore Bikel,1924
sm461,Tony Bill,1940
sm462,Peter Billingsley,
sm463,Herman Bing,1889
sm464,Geoff Binney,
sm465,Edward Binns,
sm466,Julliette Binoche,1964
sm467,Paul Birch,1900
sm468,Brad Bird,
sm469,Norman Bird,1920
sm470,David Birney,1944
sm471,Jennifer Bishop,
sm472,Pat Bishop,
sm473,Julie Bishop,1914
sm474,Whit Bissell,1919
sm475,Jacqueline Bisset,1944
sm476,Bonnie Bittner,
sm477,Bill Bixby,1934
sm478,Gunnar Bjornstrand,
sm479,Honor Blackman,1926
sm480,Joan Blackman,1938
sm481,Sidney Blackmer,1895
sm482,Ruben Blades,1948
sm483,Gerard Blain,1930
sm484,Vivian Blaine,1921
sm485,Betsy Blair,1923
sm486,Janet Blair,1921
sm487,Linda Blair,1959
sm488,Amanda Blake,1929
sm489,Jon Blake,
sm490,Mary Blake,1896
sm491,Robert Blake,1933
sm492,Whitney Blake,
sm493,Colin Blakely,1930
sm494,Ronee Blakley,1946
sm495,Pierre Blanchar,1892
sm496,Alan Blanchard,
sm497,Mari Blanchard,1927
sm498,Pierre Blanchard,
sm499,Clara Blandick,1880
sm500,Sally Blane,1910
sm501,Mark Blankfield,
sm502,Roger Blay,
sm503,Debra Blee,
sm504,Brian Blessed,1937
sm505,Bernard Blier,1916
sm506,Dan Blocker,1928
sm507,Michael Blodgett,
sm508,Joan Blondell,1909
sm509,Claire Bloom,1931
sm510,Verna Bloom,
sm511,Eric Blore,1887
sm512,Monte Blue,1890
sm513,Ann Blyth,1928
sm514,Betty Blythe,1893
sm515,John Blythe,1921
sm516,Eleanor Boardman,1898
sm517,Hart Bochner,
sm518,Lloyd Bochner,1924
sm519,Carl Boehm,1928
sm520,Paul Boensh III,
sm521,Dirk Bogarde,1921
sm522,Humphrey Bogart,1899
sm523,Roman Bohnen,1894
sm524,Curt Bois,1900
sm525,Mary Boland,1880
sm526,Ray Bolger,1904
sm527,Tiffany Bolling,
sm528,Fortunio Bonanova,1893
sm529,Derek Bond,1919
sm530,Lillian Bond,1910
sm531,Sudie Bond,
sm532,Ward Bond,1903
sm533,Natalya Bondartchuk,
sm534,Sergei Bondartchuk,1920
sm535,Beulah Bondi,1889
sm536,Peter Bonerz,
sm537,Sandrine Bonnaire,1967
sm538,Beverly Bonner,
sm539,Valerie Bonnier,
sm540,Sonny Bono,1940
sm541,Bonzo,
sm542,Richard Boone,1917
sm543,Connie Booth,
sm544,David Booth,1930
sm545,Shirley Booth,1907
sm546,Paola Borboni,
sm547,Matt Borel,
sm548,Veda Ann Borg,1915
sm549,Dirk Borgarde,
sm550,Victor Borge,
sm551,Nelly Borgeaud,
sm552,Barry Bostwick,1946
sm553,Benjamin Bottoms,
sm554,Joseph Bottoms,1954
sm555,Barbara Bouchet,1943
sm556,Daniel Boulanger,
sm557,Mathew Boulton,
sm558,Charon Bourke,
sm559,Phillip Bourneuf,1912
sm560,Julie Bovasso,
sm561,Tony Bova,
sm562,Clara Bow,1905
sm563,Dorris Bowdon,1915
sm564,Elizabeth Bowen,
sm565,Roger Bowen,
sm566,Malick Bowes,
sm567,Judy Bowker,1954
sm568,Lee Bowman,1910
sm569,Dorothy Boyd,
sm570,Guy Boyd,
sm571,Stephen Boyd,1928
sm572,William Stage Stage,
sm573,Charles Boyer,1899
sm574,Lara Flynn Boyle,1970
sm575,Peter Boyle,1933
sm576,The Bowery Boys,
sm577,Reizel Bozyk,1914
sm578,Eddie Bracken,1920
sm579,Jean Bradin,
sm580,Alice Brady,1892
sm581,Pat Brady,
sm582,Rob Brady,
sm583,Scott Brady,1924
sm584,Dame Lilian Braithwaite,1873
sm585,Wilfrid Brambell,1912
sm586,Miriam Brickman,
sm587,Neville Brand,1921
sm588,Henry Brandon,1912
sm589,Pierre Brasseur,1903
sm590,Rossano Brazzi,1916
sm591,Larry Breeding,
sm592,Hanna Brejchova,
sm593,El Brendel,1890
sm594,Eileen Brennan,1935
sm595,Walter Brennan,1894
sm596,Eve Brent,1930
sm597,Evelyn Brent,1899
sm598,George Brent,1904
sm599,Timothy Brent,
sm600,Edmund Breon,1882
sm601,Patricia Breslin,
sm602,Felix Bressart,1890
sm603,Jeremy Brett,1935
sm604,JeanClaude Brialy,
sm605,David Brian,1914
sm606,Mary Brian,1908
sm607,Fanny Brice,1891
sm608,Bricktop,
sm609,Lloyd Bridges,1913
sm610,Carl Brisson,1895
sm611,May Britt,1933
sm612,Morgan Brittany,1953
sm613,Barbara Britton,1920
sm614,Pamela Britton,1923
sm615,Tony Britton,1925
sm616,Herman Brix,1909
sm617,Peter Brocco,
sm618,Phil Brock,
sm619,Helen Broderick,1890
sm620,James Broderick,1927
sm621,Steve Brodie,1919
sm622,Estelle Brody,1905
sm623,J. Edward Bromberg,1903
sm624,John Bromfield,1922
sm625,Charles Bronson,1922
sm626,Clive Brook,1887
sm627,Faith Brook,1922
sm628,Hillary Brooke,1914
sm629,Elisabeth Brooks,
sm630,Geraldine Brooks,1925
sm631,Hildy Brooks,
sm632,Louise Brooks,
sm633,Phyllis Brooks,1914
sm634,Rand Brooks,1918
sm635,Ray Brooks,1939
sm636,Edward S. Brophy,1895
sm637,Antonia Brough,
sm638,Mary Brough,1863
sm639,Blair Brown,1948
sm640,Bruce Brown,
sm641,Bryan Brown,1947
sm642,Eric Brown,
sm643,Foxy Brown,
sm644,Gaye Brown,
sm645,George Stanford Brown,1943
sm646,Georgia Brown,1933
sm647,Janet Brown,
sm648,Joe E. Brown,1892
sm649,Johnny Mack Brown,1904
sm650,Ken Brown,
sm651,Lou Brown,
sm652,Reb Brown,
sm653,Roger Aaron Brown,
sm654,Tom Brown,1913
sm655,Vanessa Brown,1928
sm656,Wally Brown,1989
sm657,Coral Browne,1913
sm658,Kathy Browne,
sm659,David Bruce,1914
sm660,Lenny Bruce,
sm661,Nigel Bruce,1895
sm662,Virginia Bruce,1910
sm663,Nadja Brunkhorst,
sm664,Phil Bruns,
sm665,Dora Bryan,1923
sm666,Jane Bryan,1918
sm667,Michael Bryant,1928
sm668,Nana Bryant,1888
sm669,Pamela Bryant,
sm670,Yul Brynner,1915
sm671,John Buchan,
sm672,Jack Buchanan,1891
sm673,Horst Buchholz,1933
sm674,Betty Buckley,
sm675,John Buckwalter,
sm676,Genevieve Bujold,1942
sm677,Raymond Buktencia,
sm678,Peter Bull,1912
sm679,Jeremy Bulloch,
sm680,Avis Bunnage,
sm681,Victor Buono,1938
sm682,Robert Bur,
sm683,Valerie Burdinelli,1960
sm684,Eric Burdon,
